toponimo	provincia	lon	lat
burkhardtsdorf	gemeinde (SN)	12.929936	50.734171
gornsdorf	gemeinde (SN)	12.885072	50.708997
geyer	stadt (SN)	12.924195	50.623705
tannenberg	gemeinde (SN)	12.950266	50.604862
lugau/erzgeb.	stadt (SN)	12.746491	50.739952
niederwürschnitz	gemeinde (SN)	12.755475	50.722415
scheibenberg	stadt (SN)	12.912503	50.54137
schlettau	stadt (SN)	12.952013000000001	50.559371
deutschneudorf	gemeinde (SN)	13.463361	50.604595
heidersdorf	gemeinde (SN)	13.406375	50.675204
seiffen/erzgeb.	gemeinde (SN)	13.452524	50.648339
niederdorf	gemeinde (SN)	12.786017	50.726686
stollberg/erzgeb.	stadt (SN)	12.779759	50.708319
gornau/erzgeb.	gemeinde (SN)	13.030181	50.760222
zschopau	stadt (SN)	13.072274	50.747744
bockau	gemeinde (SN)	12.685351	50.543067
zschorlau	gemeinde (SN)	12.651278	50.569581
elterlein	stadt (SN)	12.868758	50.576954
zwönitz	stadt (SN)	12.811053	50.630002
börnichen/erzgeb.	gemeinde (SN)	13.14174	50.7499
grünhainichen	gemeinde (SN)	13.15194	50.766691
augustusburg	stadt (SN)	13.10168	50.810614
bobritzsch-hilbersdorf	gemeinde (SN)	13.436285	50.898373
brand-erbisdorf	stadt (SN)	13.32197	50.869411
claußnitz	gemeinde (SN)	12.881918	50.936675
döbeln	stadt (SN)	13.121007	51.121669
eppendorf	gemeinde (SN)	13.229082	50.799807
erlau	gemeinde (SN)	12.931193	51.006513
flöha	stadt (SN)	13.072994	50.858511
frankenberg/sa.	stadt (SN)	13.030777	50.910034
frauenstein	stadt (SN)	13.533996	50.801948
freiberg	stadt (SN)	13.344344	50.914868
geringswalde	stadt (SN)	12.903355	51.076992
großhartmannsdorf	gemeinde (SN)	13.318639	50.794271
großschirma	stadt (SN)	13.276907	50.966191
großweitzschen	gemeinde (SN)	13.045513	51.15772
hainichen	stadt (SN)	13.12406	50.968719
halsbrücke	gemeinde (SN)	13.350271	50.953666
hartha	stadt (SN)	12.977781	51.097507
hartmannsdorf	gemeinde (SN)	12.798823	50.886842
jahnatal	gemeinde (SN)	13.159129	51.202502
königshain-wiederau	gemeinde (SN)	12.840299	50.973915
kriebstein	gemeinde (SN)	13.0219	51.051083
leisnig	stadt (SN)	12.926623	51.159434
leubsdorf	gemeinde (SN)	13.167108	50.800384
lichtenau	gemeinde (SN)	12.978552	50.904992
lunzenau	stadt (SN)	12.754155	50.95988
mulda/sa.	gemeinde (SN)	13.407333	50.808848
neuhausen/erzgeb.	gemeinde (SN)	13.466383	50.673902
niederwiesa	gemeinde (SN)	13.024548	50.865093
oberschöna	gemeinde (SN)	13.250121	50.900838
oederan	stadt (SN)	13.166415	50.861806
penig	stadt (SN)	12.706022	50.933482
rechenberg-bienenmühle	gemeinde (SN)	13.555734	50.7367
reinsberg	gemeinde (SN)	13.363415	51.01052
rossau	gemeinde (SN)	13.047678	50.997263
roßwein	stadt (SN)	13.183633	51.065071
striegistal	gemeinde (SN)	13.18038	51.050402
waldheim	stadt (SN)	13.017355	51.073265
wechselburg	gemeinde (SN)	12.774976	51.004312
burgstädt	stadt (SN)	12.805883	50.920143
mühlau	gemeinde (SN)	12.759914	50.900744
taura	gemeinde (SN)	12.840631	50.918303
lichtenberg/erzgeb.	gemeinde (SN)	13.406301	50.844685
weißenborn/erzgeb.	gemeinde (SN)	13.400964	50.871319
altmittweida	gemeinde (SN)	12.956935	50.967479
mittweida	stadt (SN)	12.975993	50.986925
königsfeld	gemeinde (SN)	12.755705	51.063053
rochlitz	stadt (SN)	12.799334	51.045679
seelitz	gemeinde (SN)	12.820314	51.031333
zettlitz	gemeinde (SN)	12.837831	51.073229
